"Nq" "wavelength" "ext" "cd"
50 400 "cross-section" "dichroism"
50 401 "cross-section" "dichroism"
50 402 "cross-section" "dichroism"
50 403 "cross-section" "dichroism"
50 404 "cross-section" "dichroism"
50 405 "cross-section" "dichroism"
50 406 "cross-section" "dichroism"
50 407 "cross-section" "dichroism"
50 408 "cross-section" "dichroism"
50 409 "cross-section" "dichroism"
50 410 "cross-section" "dichroism"
50 411 "cross-section" "dichroism"
50 412 "cross-section" "dichroism"
50 413 "cross-section" "dichroism"
50 414 "cross-section" "dichroism"
50 415 "cross-section" "dichroism"
50 416 "cross-section" "dichroism"
50 417 "cross-section" "dichroism"
50 418 "cross-section" "dichroism"
50 419 "cross-section" "dichroism"
50 420 "cross-section" "dichroism"
50 421 "cross-section" "dichroism"
50 422 "cross-section" "dichroism"
50 423 "cross-section" "dichroism"
50 424 "cross-section" "dichroism"
50 425 "cross-section" "dichroism"
50 426 "cross-section" "dichroism"
50 427 "cross-section" "dichroism"
50 428 "cross-section" "dichroism"
50 429 "cross-section" "dichroism"
50 430 "cross-section" "dichroism"
50 431 "cross-section" "dichroism"
50 432 "cross-section" "dichroism"
50 433 "cross-section" "dichroism"
50 434 "cross-section" "dichroism"
50 435 "cross-section" "dichroism"
50 436 "cross-section" "dichroism"
50 437 "cross-section" "dichroism"
50 438 "cross-section" "dichroism"
50 439 "cross-section" "dichroism"
50 440 "cross-section" "dichroism"
50 441 "cross-section" "dichroism"
50 442 "cross-section" "dichroism"
50 443 "cross-section" "dichroism"
50 444 "cross-section" "dichroism"
50 445 "cross-section" "dichroism"
50 446 "cross-section" "dichroism"
50 447 "cross-section" "dichroism"
50 448 "cross-section" "dichroism"
50 449 "cross-section" "dichroism"
50 450 "cross-section" "dichroism"
50 451 "cross-section" "dichroism"
50 452 "cross-section" "dichroism"
50 453 "cross-section" "dichroism"
50 454 "cross-section" "dichroism"
50 455 "cross-section" "dichroism"
50 456 "cross-section" "dichroism"
50 457 "cross-section" "dichroism"
50 458 "cross-section" "dichroism"
50 459 "cross-section" "dichroism"
50 460 "cross-section" "dichroism"
50 461 "cross-section" "dichroism"
50 462 "cross-section" "dichroism"
50 463 "cross-section" "dichroism"
50 464 "cross-section" "dichroism"
50 465 "cross-section" "dichroism"
50 466 "cross-section" "dichroism"
50 467 "cross-section" "dichroism"
50 468 "cross-section" "dichroism"
50 469 "cross-section" "dichroism"
50 470 "cross-section" "dichroism"
50 471 "cross-section" "dichroism"
50 472 "cross-section" "dichroism"
50 473 "cross-section" "dichroism"
50 474 "cross-section" "dichroism"
50 475 "cross-section" "dichroism"
50 476 "cross-section" "dichroism"
50 477 "cross-section" "dichroism"
50 478 "cross-section" "dichroism"
50 479 "cross-section" "dichroism"
50 480 "cross-section" "dichroism"
50 481 "cross-section" "dichroism"
50 482 "cross-section" "dichroism"
50 483 "cross-section" "dichroism"
50 484 "cross-section" "dichroism"
50 485 "cross-section" "dichroism"
50 486 "cross-section" "dichroism"
50 487 "cross-section" "dichroism"
50 488 "cross-section" "dichroism"
50 489 "cross-section" "dichroism"
50 490 "cross-section" "dichroism"
50 491 "cross-section" "dichroism"
50 492 "cross-section" "dichroism"
50 493 "cross-section" "dichroism"
50 494 "cross-section" "dichroism"
50 495 "cross-section" "dichroism"
50 496 "cross-section" "dichroism"
50 497 "cross-section" "dichroism"
50 498 "cross-section" "dichroism"
50 499 "cross-section" "dichroism"
50 500 "cross-section" "dichroism"
50 501 "cross-section" "dichroism"
50 502 "cross-section" "dichroism"
50 503 "cross-section" "dichroism"
50 504 "cross-section" "dichroism"
50 505 "cross-section" "dichroism"
50 506 "cross-section" "dichroism"
50 507 "cross-section" "dichroism"
50 508 "cross-section" "dichroism"
50 509 "cross-section" "dichroism"
50 510 "cross-section" "dichroism"
50 511 "cross-section" "dichroism"
50 512 "cross-section" "dichroism"
50 513 "cross-section" "dichroism"
50 514 "cross-section" "dichroism"
50 515 "cross-section" "dichroism"
50 516 "cross-section" "dichroism"
50 517 "cross-section" "dichroism"
50 518 "cross-section" "dichroism"
50 519 "cross-section" "dichroism"
50 520 "cross-section" "dichroism"
50 521 "cross-section" "dichroism"
50 522 "cross-section" "dichroism"
50 523 "cross-section" "dichroism"
50 524 "cross-section" "dichroism"
50 525 "cross-section" "dichroism"
50 526 "cross-section" "dichroism"
50 527 "cross-section" "dichroism"
50 528 "cross-section" "dichroism"
50 529 "cross-section" "dichroism"
50 530 "cross-section" "dichroism"
50 531 "cross-section" "dichroism"
50 532 "cross-section" "dichroism"
50 533 "cross-section" "dichroism"
50 534 "cross-section" "dichroism"
50 535 "cross-section" "dichroism"
50 536 "cross-section" "dichroism"
50 537 "cross-section" "dichroism"
50 538 "cross-section" "dichroism"
50 539 "cross-section" "dichroism"
50 540 "cross-section" "dichroism"
50 541 "cross-section" "dichroism"
50 542 "cross-section" "dichroism"
50 543 "cross-section" "dichroism"
50 544 "cross-section" "dichroism"
50 545 "cross-section" "dichroism"
50 546 "cross-section" "dichroism"
50 547 "cross-section" "dichroism"
50 548 "cross-section" "dichroism"
50 549 "cross-section" "dichroism"
50 550 "cross-section" "dichroism"
50 551 "cross-section" "dichroism"
50 552 "cross-section" "dichroism"
